937D/A408,RSSI
1411801455305,-76
1411801455329,-76
1411801455662,-76
1411801455991,-74
1411801456038,-74
1411801456391,-76
1411801456427,-76
1411801457067,-76
1411801457090,-76
1411801457412,-74
1411801457439,-74
1411801457806,-74
1411801457826,-74
1411801458126,-81
1411801458150,-81
1411801458482,-75
1411801458520,-75
1411801458836,-75
1411801458878,-75
1411801459614,-74
1411801459998,-74
1411801460022,-74
1411801460251,-75
1411801460283,-75
1411801460974,-80
1411801461011,-80
1411801461348,-75
1411801461402,-75
1411801461734,-79
1411801461770,-79
1411801462516,-76
1411801462545,-76
1411801462734,-75
1411801462758,-75
1411801463458,-75
1411801463504,-75
1411801463801,-75
1411801463824,-75
1411801464162,-74
1411801464226,-74
1411801464542,-78
1411801464580,-78
1411801464910,-74
1411801465041,-74
1411801465614,-76
1411801465648,-76
1411801465939,-74
1411801465967,-74
1411801466308,-76
1411801466332,-76
1411801466718,-75
1411801466750,-75
1411801467025,-75
1411801467049,-75
1411801467352,-75
1411801467377,-75
1411801467707,-74
1411801467743,-74
1411801468059,-77
1411801468085,-77
1411801468421,-79
1411801468459,-79
1411801468773,-80
1411801468815,-80
1411801469127,-74
1411801469159,-74
1411801469481,-76
1411801469544,-76
1411801469830,-77
1411801469975,-77
1411801470186,-74
1411801470208,-74
1411801470589,-71
1411801470620,-71
1411801471659,-75
1411801471724,-75
1411801471963,-78
1411801472014,-78
1411801472344,-75
1411801472369,-75
1411801472760,-73
1411801472785,-73
1411801473042,-75
1411801473069,-75
1411801473384,-76
1411801473429,-76
1411801473752,-75
1411801473808,-75
1411801474153,-77
1411801474180,-77
1411801474455,-77
1411801474480,-77
1411801474820,-74
1411801474869,-74
1411801475164,-74
1411801475186,-74
1411801475623,-78
1411801475649,-78
1411801475875,-77
1411801475944,-77
1411801476228,-74
1411801476261,-74
1411801476584,-73
1411801476618,-73
1411801477302,-74
1411801477325,-74
1411801477669,-78
1411801477694,-78
1411801478130,-76
1411801478155,-76
1411801478356,-74
1411801478375,-74
1411801479136,-76
1411801479168,-76
1411801479434,-76
1411801479487,-76
1411801480190,-77
1411801480234,-77
1411801480860,-73
1411801480893,-73
1411801481275,-77
1411801481304,-77
1411801481556,-73
1411801481589,-73
1411801481927,-78
1411801481962,-78
1411801482260,-76
1411801482295,-76
1411801482989,-76
1411801483020,-76
1411801483714,-74
1411801483732,-74
1411801484018,-74
1411801484042,-74
1411801485492,-79
1411801485528,-79
1411801485797,-77
1411801485822,-77
1411801486149,-78
1411801486174,-78
1411801486505,-73
1411801486538,-73
1411801486893,-76
1411801486934,-76
1411801487607,-77
1411801487628,-77
1411801487987,-77
1411801488023,-77
1411801489051,-73
1411801489092,-73
1411801489365,-74
1411801489389,-74
1411801489789,-77
1411801489844,-77
1411801490081,-74
1411801490113,-74
1411801490503,-73
1411801490663,-73
1411801491554,-79
1411801491586,-79
1411801491835,-77
1411801491875,-77
1411801492203,-77
1411801492236,-77
1411801492580,-78
1411801492606,-78
1411801493336,-79
1411801493465,-79
1411801494054,-72
1411801494076,-72
1411801494345,-73
1411801494371,-73
1411801495037,-75
1411801495074,-75
1411801495793,-79
1411801495930,-79
1411801496578,-74
1411801496611,-74
1411801496814,-74
1411801496846,-74
1411801497150,-74
1411801497195,-74
1411801497571,-75
1411801497987,-74
1411801498019,-74
1411801498301,-75
1411801498324,-75
1411801499023,-74
1411801499062,-74
1411801499675,-75
1411801499709,-75
1411801499978,-74
1411801500014,-74
1411801500355,-73
1411801500384,-73
1411801500733,-73
1411801500757,-73
1411801501428,-73
1411801501452,-73
1411801501788,-80
1411801501816,-80
1411801502142,-73
1411801502175,-73
1411801502484,-79
1411801502509,-79
1411801502833,-73
1411801502867,-73
1411801503354,-73
1411801503377,-73
1411801503939,-81
1411801503969,-81
1411801504362,-79
1411801504393,-79
1411801504588,-74
1411801504627,-74
1411801505048,-79
1411801505085,-79
1411801506069,-74
1411801506090,-74
1411801506397,-76
1411801506422,-76
1411801506815,-75
1411801506849,-75
1411801507113,-73
1411801507145,-73
1411801507424,-74
1411801507459,-74
1411801508279,-78
1411801508342,-78
1411801508558,-78
1411801508597,-78
1411801508847,-77
