B4EC/C0CB,RSSI
1411801457557,-70
1411801457578,-70
1411801457849,-75
1411801457870,-75
1411801458192,-75
1411801458238,-75
1411801458567,-76
1411801458605,-76
1411801458925,-68
1411801458963,-68
1411801459263,-76
1411801459322,-76
1411801460044,-67
1411801460069,-67
1411801460325,-69
1411801460358,-69
1411801460682,-67
1411801460769,-67
1411801461041,-69
1411801461063,-69
1411801461435,-69
1411801461468,-69
1411801461812,-75
1411801461844,-75
1411801462573,-68
1411801462598,-68
1411801462811,-76
1411801462838,-76
1411801463870,-67
1411801463895,-67
1411801464270,-68
1411801464305,-68
1411801464613,-74
1411801464646,-74
1411801465073,-75
1411801465101,-75
1411801465299,-69
1411801465338,-69
1411801465685,-67
1411801465718,-67
1411801466003,-70
1411801466037,-70
1411801466787,-70
1411801466818,-70
1411801467079,-69
1411801467190,-69
1411801467440,-74
1411801467485,-74
1411801467789,-67
1411801468518,-67
1411801468550,-67
1411801468859,-70
1411801468894,-70
1411801469579,-73
1411801469601,-73
1411801469999,-70
1411801470024,-70
1411801470269,-67
1411801470299,-67
1411801470994,-67
1411801471027,-67
1411801471747,-75
1411801471768,-75
1411801472062,-67
1411801472087,-67
1411801472811,-75
1411801472835,-75
1411801473100,-65
1411801473122,-65
1411801473472,-69
1411801473506,-69
1411801473853,-69
1411801473879,-69
1411801474206,-74
1411801474231,-74
1411801474521,-75
1411801474544,-75
1411801474902,-68
1411801474923,-68
1411801475239,-67
1411801475269,-67
1411801475674,-76
1411801475698,-76
1411801475965,-75
1411801475985,-75
1411801476309,-75
1411801476343,-75
1411801476665,-70
1411801476704,-70
1411801477018,-67
1411801477050,-67
1411801477385,-69
1411801477410,-69
1411801477722,-68
1411801477744,-68
1411801478175,-69
1411801478194,-69
1411801478429,-69
1411801478487,-69
1411801478794,-69
1411801478837,-69
1411801479542,-69
1411801479582,-69
1411801480267,-68
1411801480299,-68
1411801480938,-69
1411801480974,-69
1411801481329,-75
1411801481353,-75
1411801481641,-69
1411801481675,-69
1411801482001,-74
1411801482038,-74
1411801482399,-67
1411801482420,-67
1411801483408,-67
1411801483436,-67
1411801484122,-69
1411801484143,-69
1411801484499,-67
1411801484527,-67
1411801485179,-67
1411801485203,-67
1411801485565,-69
1411801485598,-69
1411801485906,-68
1411801485954,-68
1411801486253,-69
1411801486293,-69
1411801486600,-67
1411801486637,-67
1411801486978,-71
1411801486998,-71
1411801488058,-69
1411801488090,-69
1411801488362,-75
1411801488383,-75
1411801488712,-67
1411801488733,-67
1411801489129,-75
1411801489177,-75
1411801489420,-74
1411801489448,-74
1411801489873,-75
1411801489897,-75
1411801490150,-69
1411801490178,-69
1411801490688,-69
1411801490712,-69
1411801491187,-67
1411801491218,-67
1411801491624,-69
1411801491656,-69
1411801491923,-75
1411801491954,-75
1411801492628,-75
1411801492654,-75
1411801492965,-75
1411801493013,-75
1411801493485,-75
1411801493505,-75
1411801494103,-69
1411801494131,-69
1411801494393,-69
1411801494417,-69
1411801494743,-67
1411801494776,-67
1411801495500,-74
1411801495550,-74
1411801495950,-74
1411801495970,-74
1411801496649,-69
1411801496681,-69
1411801496884,-69
1411801496922,-69
1411801498345,-69
1411801498481,-69
1411801498644,-69
1411801498675,-69
1411801499372,-75
1411801499392,-75
1411801499742,-74
1411801499779,-74
1411801500427,-69
1411801500447,-69
1411801500784,-69
1411801500803,-69
1411801501141,-67
1411801501163,-67
1411801501495,-67
1411801501519,-67
1411801502203,-67
1411801502226,-67
1411801502557,-76
1411801502581,-76
1411801502919,-76
1411801502952,-76
1411801503395,-69
1411801503425,-69
1411801503625,-68
1411801503658,-68
1411801504422,-75
1411801504453,-75
1411801504701,-75
1411801504748,-75
1411801505412,-67
1411801505473,-67
1411801505879,-68
1411801505932,-68
1411801506116,-76
1411801506136,-76
1411801506931,-69
1411801506963,-69
1411801507183,-76
1411801507218,-76
1411801507532,-75
1411801507556,-75
1411801507893,-75
1411801507924,-75
1411801508364,-69
1411801508383,-69
1411801508635,-68
1411801508666,-68
1411801508949,-76
1411801508982,-76
1411801509298,-76
1411801509322,-76
1411801510007,-67
1411801510031,-67
1411801511076,-75
1411801511101,-75
1411801511460,-69
1411801511488,-69
1411801512199,-70
1411801512228,-70
1411801512512,-76
1411801512553,-76
1411801513246,-70
1411801513278,-70
1411801513563,-75
1411801513587,-75
1411801514345,-69
1411801514378,-69
1411801514629,-67
1411801514664,-67
1411801515682,-69
1411801515705,-69
1411801516048,-68
1411801516080,-68
1411801516416,-69
1411801516438,-69
1411801517117,-67
1411801517156,-67
1411801517472,-70
1411801517509,-70
1411801517917,-69
1411801517940,-69
1411801518162,-74
1411801518189,-74
1411801518914,-71
1411801518939,-71
1411801519222,-68
1411801519255,-68
1411801519581,-70
1411801519611,-70
1411801519996,-67
1411801520022,-67
1411801520285,-68
1411801520310,-68
1411801520665,-75
1411801520710,-75
1411801521019,-67
1411801521123,-67
1411801521348,-70
1411801521389,-70
1411801521702,-68
1411801521721,-68
1411801522126,-75
1411801522246,-75
1411801522420,-68
1411801522447,-68
1411801522800,-68
1411801522851,-68
1411801523908,-68
1411801523946,-68
1411801524192,-67
1411801524221,-67
1411801525261,-67
1411801525288,-67
1411801525632,-70
1411801525663,-70
1411801526343,-75
1411801526422,-75
1411801526745,-69
1411801526777,-69
1411801527045,-68
1411801527078,-68
1411801527405,-69
1411801527438,-69
1411801528113,-69
1411801528142,-69
1411801528510,-67
1411801528542,-67
1411801528829,-74
1411801528944,-74
1411801529186,-68
1411801529219,-68
1411801530299,-71
1411801530319,-71
1411801530584,-74
1411801530609,-74
1411801530935,-74
1411801530955,-74
1411801531296,-77
1411801531323,-77
1411801531649,-78
1411801531679,-78
1411801532385,-72
1411801532409,-72
1411801532707,-76
1411801532731,-76
1411801533412,-70
1411801533445,-70
1411801533809,-68
1411801533836,-68
1411801534528,-71
1411801534567,-71
1411801535196,-76
1411801535246,-76
1411801535646,-72
1411801535677,-72
1411801536252,-71
1411801536279,-71
1411801536966,-72
1411801536995,-72
1411801537319,-72
1411801537350,-72
1411801537990,-77
1411801538016,-77
1411801538241,-73
1411801538275,-73
1411801538734,-71
1411801538761,-71
1411801539128,-75
1411801539156,-75
1411801539806,-73
1411801539836,-73
1411801540868,-69
1411801540900,-69
1411801541959,-74
1411801541980,-74
1411801542335,-67
1411801542359,-67
1411801542637,-67
1411801542667,-67
1411801543010,-68
1411801543043,-68
1411801543450,-74
1411801543585,-74
1411801544079,-67
1411801544118,-67
1411801544408,-69
1411801544442,-69
1411801544760,-65
1411801544780,-65
1411801545161,-67
1411801545187,-67
1411801545531,-67
1411801545573,-67
1411801546529,-76
1411801546560,-76
1411801546967,-78
1411801547005,-78
1411801547267,-73
1411801547643,-79
1411801547666,-79
1411801547939,-71
1411801547961,-71
1411801548289,-80
1411801548310,-80
1411801548795,-77
1411801548825,-77
1411801550207,-66
1411801550233,-66
1411801550412,-71
1411801550434,-71
1411801550828,-72
1411801550852,-72
1411801551480,-73
1411801551599,-73
1411801551844,-70
1411801551875,-70
1411801552243,-71
1411801552271,-71
1411801552551,-71
1411801552580,-71
1411801552930,-72
1411801552955,-72
1411801553663,-72
1411801553693,-72
1411801554015,-70
1411801554052,-70
1411801554374,-72
1411801554402,-72
