BD14/AEEF,RSSI
1411801457033,-79
1411801457687,-81
1411801457759,-81
1411801458385,-71
1411801458423,-71
1411801459562,-77
1411801459587,-77
1411801459831,-70
1411801459854,-70
1411801460568,-79
1411801460600,-79
1411801461661,-72
1411801461699,-72
1411801462039,-77
1411801462063,-77
1411801462331,-78
1411801462359,-78
1411801463001,-71
1411801463024,-71
1411801463398,-71
1411801463417,-71
1411801463740,-71
1411801463763,-71
1411801464057,-78
1411801464087,-78
1411801464472,-78
1411801464509,-78
1411801464860,-79
1411801464883,-79
1411801465178,-71
1411801465208,-71
1411801465538,-71
1411801465582,-71
1411801466251,-72
1411801466281,-72
1411801466649,-78
1411801466680,-78
1411801467253,-79
1411801467275,-79
1411801469039,-78
1411801469072,-78
1411801470515,-79
1411801470555,-79
1411801470877,-71
1411801470910,-71
1411801471178,-77
1411801471220,-77
1411801472285,-80
1411801472317,-80
1411801472596,-71
1411801472628,-71
1411801472989,-71
1411801473010,-71
1411801474011,-70
1411801474046,-70
1411801475594,-72
1411801476972,-77
1411801477228,-71
1411801477275,-71
1411801477619,-82
1411801477644,-82
1411801478089,-80
1411801478111,-80
1411801479068,-75
1411801479100,-75
1411801479811,-77
1411801479843,-77
1411801480124,-80
1411801480157,-80
1411801480793,-77
1411801480827,-77
1411801481166,-81
1411801481249,-81
1411801481480,-81
1411801481513,-81
1411801481839,-73
1411801481872,-73
1411801483299,-76
1411801483322,-76
1411801483621,-72
1411801483688,-72
1411801485056,-77
1411801485076,-77
1411801485418,-78
1411801485460,-78
1411801485742,-71
1411801485768,-71
1411801486095,-77
1411801486119,-77
1411801487183,-72
1411801487235,-72
1411801487552,-71
1411801487585,-71
1411801487912,-71
1411801487953,-71
1411801488985,-81
1411801489019,-81
1411801489311,-72
1411801489339,-72
1411801489733,-71
1411801489762,-71
1411801490029,-81
1411801490055,-81
1411801490423,-81
1411801490467,-81
1411801490786,-71
1411801490810,-71
1411801491091,-71
1411801491117,-71
1411801491489,-81
1411801491521,-81
1411801493221,-78
1411801493245,-78
1411801493569,-71
1411801493589,-71
1411801493897,-79
1411801493976,-79
1411801494239,-80
1411801494264,-80
1411801494590,-71
1411801494621,-71
1411801495319,-76
1411801495367,-76
1411801495701,-80
1411801495724,-80
1411801496041,-71
1411801496067,-71
1411801496378,-81
1411801496419,-81
1411801497439,-81
1411801497522,-81
1411801497796,-80
1411801497829,-80
1411801498168,-80
1411801498219,-80
1411801498545,-71
1411801498566,-71
1411801498866,-77
1411801498913,-77
1411801499221,-71
1411801499304,-71
1411801499561,-70
1411801499584,-70
1411801500984,-81
1411801501004,-81
1411801501328,-77
1411801501352,-77
1411801502038,-80
1411801502090,-80
1411801502392,-79
1411801502418,-79
1411801502741,-77
1411801502764,-77
1411801503504,-79
1411801503529,-79
1411801503800,-79
1411801503835,-79
1411801504174,-80
1411801504221,-80
1411801504900,-71
1411801504937,-71
1411801505591,-78
1411801505623,-78
1411801505990,-78
1411801506009,-78
1411801506301,-77
1411801506325,-77
1411801506657,-72
1411801506712,-72
1411801507725,-80
1411801508078,-79
1411801508206,-79
1411801508439,-78
1411801508474,-78
1411801509497,-77
1411801509520,-77
1411801509852,-79
1411801509872,-79
1411801510248,-70
1411801510290,-70
1411801510710,-78
1411801510733,-78
1411801511287,-74
1411801511320,-74
1411801511629,-70
1411801511655,-70
1411801511981,-78
1411801512010,-78
1411801512330,-69
1411801512362,-69
1411801513043,-78
1411801513073,-78
1411801513408,-70
1411801513434,-70
1411801513750,-81
1411801513771,-81
1411801514120,-78
1411801514164,-78
1411801514829,-70
1411801514902,-70
1411801515172,-70
1411801515197,-70
1411801515903,-80
1411801516264,-79
1411801516606,-71
1411801516638,-71
1411801517333,-78
1411801517372,-78
1411801517750,-80
1411801517815,-80
1411801518386,-71
1411801518423,-71
1411801518734,-78
1411801518762,-78
1411801519089,-70
1411801519113,-70
1411801519441,-79
1411801519469,-79
1411801519823,-71
1411801519864,-71
1411801521578,-70
1411801521599,-70
1411801521949,-79
1411801521982,-79
1411801523003,-78
1411801523340,-78
1411801523360,-78
1411801523706,-70
1411801523741,-70
1411801524873,-78
1411801524906,-78
1411801525476,-79
1411801525524,-79
1411801525900,-74
1411801525928,-74
1411801526537,-70
1411801526570,-70
1411801526896,-77
1411801526932,-77
1411801527946,-80
1411801527966,-80
1411801528305,-73
1411801528342,-73
1411801528664,-77
1411801528708,-77
1411801529078,-76
1411801529110,-76
1411801529374,-78
1411801529414,-78
1411801529720,-76
1411801529755,-76
1411801530427,-76
1411801530455,-76
1411801530787,-78
1411801530837,-78
1411801531135,-75
1411801531158,-75
1411801531498,-80
1411801531525,-80
1411801531861,-79
1411801531884,-79
1411801532215,-80
1411801532249,-80
1411801532574,-79
1411801532607,-79
1411801533067,-80
1411801533094,-80
1411801534001,-75
1411801534047,-75
1411801534758,-80
1411801534838,-80
1411801535045,-80
1411801535072,-80
1411801535409,-77
1411801535454,-77
1411801536480,-82
1411801536519,-82
1411801537177,-77
1411801537212,-77
1411801537542,-81
1411801537588,-81
1411801538117,-77
1411801538139,-77
1411801538586,-82
1411801538615,-82
1411801538939,-79
1411801538963,-79
1411801540364,-78
1411801540399,-78
1411801541070,-79
1411801541104,-79
1411801541476,-78
1411801541501,-78
1411801541776,-78
1411801541808,-78
1411801542137,-82
1411801542164,-82
1411801542497,-80
1411801542524,-80
1411801542851,-83
1411801542881,-83
1411801543215,-83
1411801543257,-83
1411801543944,-84
1411801544009,-84
1411801544287,-80
1411801544321,-80
1411801544647,-80
1411801544700,-80
1411801545003,-82
1411801545025,-82
1411801545380,-81
1411801545412,-81
1411801545734,-74
1411801545773,-74
1411801546059,-84
1411801546215,-84
1411801546769,-80
1411801546802,-80
1411801547147,-78
1411801547179,-78
1411801547501,-74
1411801547524,-74
1411801547824,-78
1411801547856,-78
1411801548180,-75
1411801548227,-75
1411801548538,-79
1411801548561,-79
1411801549271,-72
1411801549312,-72
1411801549614,-85
1411801549649,-85
1411801550088,-86
1411801550109,-86
1411801550725,-73
1411801550748,-73
1411801551108,-82
1411801551137,-82
1411801552167,-85
1411801552196,-85
1411801553878,-72
1411801553912,-72
1411801554323,-87
1411801554343,-87
1411801554926,-73
1411801554955,-73
1411801555284,-80
1411801555308,-80
1411801556395,-73
1411801556420,-73
1411801557069,-82
1411801557094,-82
1411801557590,-86
1411801557612,-86
1411801558202,-85
1411801558234,-85
1411801558531,-73
1411801558561,-73
1411801558879,-78
1411801558905,-78
1411801559186,-71
1411801559209,-71
1411801560607,-88
1411801560637,-88
1411801560964,-72
1411801560994,-72
1411801561353,-85
1411801561381,-85
1411801561671,-77
1411801561698,-77
1411801562033,-79
1411801562061,-79
1411801562748,-74
1411801562773,-74
1411801563485,-72
1411801563519,-72
1411801563821,-74
1411801563871,-74
1411801564894,-73
1411801565231,-71
1411801565258,-71
1411801565589,-80
1411801565633,-80
1411801566293,-74
1411801566326,-74
1411801567011,-74
1411801567098,-74
1411801568111,-74
1411801568132,-74
1411801568416,-83
1411801568442,-83
1411801569130,-73
1411801569158,-73
1411801569497,-73
1411801569546,-73
1411801570198,-72
1411801570225,-72
1411801570552,-73
1411801570584,-73
1411801570923,-76
1411801570945,-76
1411801571261,-73
1411801571292,-73
1411801571975,-73
1411801572014,-73
1411801572324,-71
1411801572347,-71
1411801572688,-77
1411801572719,-77
1411801573403,-72
1411801573429,-72
1411801573749,-72
1411801574103,-73
1411801574126,-73
1411801574455,-68
1411801574480,-68
1411801575177,-79
1411801575204,-79
1411801575538,-73
1411801575575,-73
1411801576120,-71
1411801576141,-71
1411801576585,-73
1411801576697,-73
1411801580140,-74
1411801580178,-74
1411801581201,-74
1411801581222,-74
1411801581545,-71
1411801581580,-71
1411801581942,-74
1411801581963,-74
1411801582274,-73
1411801582302,-73
1411801582597,-72
1411801582628,-72
1411801583669,-71
1411801583691,-71
1411801584385,-72
1411801584422,-72
1411801584783,-72
1411801584803,-72
1411801585132,-72
1411801585154,-72
1411801585862,-72
1411801585884,-72
1411801586228,-73
1411801586250,-73
1411801586653,-73
1411801586674,-73
1411801588342,-75
1411801588368,-75
1411801590100,-73
1411801590121,-73
1411801591479,-71
1411801591508,-71
1411801591892,-71
1411801591914,-71
1411801592288,-71
1411801592321,-71
1411801592663,-74
1411801592684,-74
1411801595062,-74
1411801596433,-71
1411801596455,-71
1411801596785,-71
1411801596808,-71
1411801597142,-75
1411801597166,-75
1411801597493,-71
1411801597524,-71
1411801597850,-75
1411801597875,-75
1411801598246,-74
1411801598268,-74
1411801598568,-75
1411801598607,-75
1411801598921,-75
1411801598947,-75
1411801599267,-74
1411801599300,-74
1411801599616,-75
1411801599641,-75
1411801599981,-74
1411801600029,-74
1411801600430,-75
1411801600456,-75
1411801600677,-71
1411801600701,-71
1411801601068,-74
1411801601088,-74
1411801601393,-75
1411801601430,-75
1411801601757,-75
1411801601828,-75
1411801602132,-73
1411801602172,-73
1411801602465,-71
1411801602486,-71
1411801602816,-73
1411801602869,-73
1411801603167,-75
1411801603191,-75
1411801603886,-71
1411801603926,-71
1411801604254,-73
1411801604276,-73
1411801604608,-71
1411801604635,-71
1411801604945,-75
1411801604987,-75
1411801607860,-74
1411801607892,-74
1411801608850,-71
1411801608879,-71
1411801609210,-73
1411801609255,-73
1411801609556,-71
1411801609579,-71
1411801610263,-73
1411801610288,-73
1411801611077,-75
1411801611109,-75
1411801611337,-73
1411801611373,-73
1411801611734,-75
1411801612108,-71
1411801612140,-71
1411801613177,-73
1411801613208,-73
1411801613507,-73
1411801613533,-73
1411801613929,-74
1411801613955,-74
1411801614171,-73
1411801614197,-73
1411801614586,-73
1411801614620,-73
1411801614997,-73
1411801615018,-73
1411801615275,-72
1411801615307,-72
1411801615678,-71
1411801615710,-71
1411801615957,-73
1411801615988,-73
1411801616663,-74
1411801616701,-74
1411801617121,-73
1411801617146,-73
1411801617445,-72
1411801617466,-72
1411801617730,-72
1411801617765,-72
1411801618082,-72
1411801618115,-72
1411801618432,-72
1411801618486,-72
1411801618801,-72
1411801618845,-72
1411801619152,-74
1411801619183,-74
1411801619496,-74
1411801619517,-74
1411801619895,-75
1411801620202,-71
1411801620226,-71
1411801620608,-71
1411801620626,-71
1411801620921,-74
1411801620941,-74
1411801621282,-74
1411801621305,-74
1411801621649,-74
1411801621807,-74
1411801621998,-75
1411801622026,-75
1411801622715,-72
1411801622742,-72
1411801623078,-72
1411801623110,-72
1411801623417,-76
1411801623464,-76
1411801624167,-74
1411801624189,-74
1411801624482,-74
1411801624513,-74
1411801624826,-73
1411801624847,-73
1411801625179,-73
1411801625199,-73
1411801626004,-74
1411801626028,-74
1411801626639,-72
1411801626680,-72
1411801627042,-75
1411801627067,-75
1411801627330,-75
1411801627361,-75
1411801628067,-72
1411801628097,-72
1411801628375,-72
1411801628408,-72
1411801628718,-71
1411801628754,-71
1411801629484,-73
1411801629516,-73
1411801629823,-73
1411801629856,-73
1411801630564,-72
1411801630597,-72
1411801631218,-72
1411801631243,-72
1411801631921,-73
1411801631954,-73
1411801632362,-72
1411801632385,-72
1411801632681,-72
1411801632706,-72
1411801633076,-73
1411801633100,-73
1411801633366,-73
1411801633396,-73
1411801633721,-72
1411801633772,-72
1411801634064,-72
1411801634089,-72
1411801635125,-71
1411801635163,-71
1411801635490,-75
1411801635537,-75
1411801636286,-74
1411801636309,-74
1411801636531,-76
1411801636553,-76
1411801636975,-73
1411801637093,-73
1411801637314,-72
1411801637334,-72
1411801637702,-74
1411801637734,-74
1411801638718,-74
1411801638754,-74
1411801639008,-74
1411801639033,-74
1411801639755,-75
1411801639777,-75
1411801640556,-74
1411801640574,-74
1411801640829,-74
1411801640855,-74
1411801641137,-74
1411801641175,-74
1411801642191,-73
1411801642212,-73
1411801642610,-72
1411801642991,-74
1411801643071,-74
1411801643291,-74
1411801643313,-74
1411801643617,-72
1411801643672,-72
1411801644397,-75
1411801644510,-75
1411801644703,-75
1411801644726,-75
1411801645036,-72
1411801645077,-72
1411801645461,-73
1411801645485,-73
1411801647274,-74
1411801647299,-74
1411801647555,-73
1411801647579,-73
1411801647914,-71
1411801647951,-71
1411801648232,-75
1411801648318,-75
1411801648972,-75
1411801648992,-75
1411801649751,-71
1411801649777,-71
1411801650009,-70
1411801650032,-70
1411801650475,-70
1411801650495,-70
1411801650704,-71
1411801650727,-71
1411801651477,-74
1411801651497,-74
1411801651817,-70
1411801651851,-70
1411801652480,-71
1411801652502,-71
1411801652875,-74
1411801653229,-71
1411801653252,-71
1411801653576,-71
1411801653602,-71
1411801654251,-71
1411801654288,-71
1411801655041,-74
1411801655068,-74
