F021/9E93,RSSI
1411801460801,-77
1411801460835,-77
1411801461876,-79
1411801461910,-79
1411801462136,-79
1411801462161,-79
1411801462621,-79
1411801462645,-79
1411801463921,-80
1411801463942,-80
1411801465371,-89
1411801465403,-89
1411801465762,-78
1411801465842,-78
1411801466069,-77
1411801466102,-77
1411801466386,-83
1411801466418,-83
1411801466850,-77
1411801466892,-77
1411801467517,-79
1411801467549,-79
1411801468157,-84
1411801468182,-84
1411801468926,-87
1411801468959,-87
1411801469220,-79
1411801469256,-79
1411801470069,-88
1411801470094,-88
1411801470324,-78
1411801470348,-78
1411801471058,-79
1411801471090,-79
1411801472160,-76
1411801472183,-76
1411801472857,-77
1411801472880,-77
1411801473144,-79
1411801473165,-79
1411801474255,-77
1411801474319,-77
1411801474573,-78
1411801474596,-78
1411801475722,-77
1411801475751,-77
1411801476006,-74
1411801476028,-74
1411801476376,-78
1411801476409,-78
1411801476736,-80
1411801476768,-80
1411801477769,-79
1411801477792,-79
1411801478214,-78
1411801478239,-78
1411801478871,-78
1411801478902,-78
1411801479630,-79
1411801479684,-79
1411801480331,-79
1411801480364,-79
1411801481014,-80
1411801481050,-80
1411801481377,-78
1411801481401,-78
1411801481707,-74
1411801481742,-74
1411801482076,-78
1411801482109,-78
1411801482442,-78
1411801482464,-78
1411801484600,-77
1411801484622,-77
1411801484913,-76
1411801484936,-76
1411801485255,-76
1411801485279,-76
1411801485979,-74
1411801486005,-74
1411801486338,-79
1411801486372,-79
1411801487023,-85
1411801487042,-85
1411801487370,-88
1411801487402,-88
1411801487715,-87
1411801487739,-87
1411801488433,-87
1411801488465,-87
1411801488780,-78
1411801488803,-78
1411801490912,-78
1411801490936,-78
1411801491695,-79
1411801491727,-79
1411801491981,-77
1411801492005,-77
1411801492696,-77
1411801492723,-77
1411801493527,-77
1411801493547,-77
1411801493756,-77
1411801493788,-77
1411801495990,-78
1411801496014,-78
1411801496244,-77
1411801496295,-77
1411801497360,-78
1411801497380,-78
1411801497658,-78
1411801497681,-78
1411801498504,-78
1411801498524,-78
1411801498712,-77
1411801498738,-77
1411801499424,-77
1411801499449,-77
1411801499812,-78
1411801499856,-78
1411801500486,-77
1411801500506,-77
1411801500842,-78
1411801500861,-78
1411801501899,-78
1411801501922,-78
1411801502668,-78
1411801502692,-78
1411801503007,-78
1411801503039,-78
1411801503451,-80
1411801503477,-80
1411801503685,-88
1411801503707,-88
1411801504487,-78
1411801504521,-78
1411801505506,-76
1411801505549,-76
1411801505951,-79
1411801505970,-79
1411801506529,-78
1411801506565,-78
1411801507251,-79
1411801507284,-79
1411801507584,-79
1411801507611,-79
1411801509368,-77
1411801509398,-77
1411801509759,-77
1411801509782,-77
1411801510478,-77
1411801510511,-77
1411801511137,-89
1411801511164,-89
1411801511513,-80
1411801511537,-80
1411801512250,-79
1411801512272,-79
1411801513352,-76
1411801513376,-76
1411801514410,-79
1411801514442,-79
1411801515031,-80
1411801515053,-80
1411801515483,-76
1411801515507,-76
1411801517550,-76
1411801517575,-76
1411801517965,-78
1411801517991,-78
1411801518248,-87
1411801518280,-87
1411801519647,-76
1411801519673,-76
1411801520047,-76
1411801520120,-76
1411801520355,-78
1411801520378,-78
1411801520731,-79
1411801520754,-79
1411801521428,-86
1411801521447,-86
1411801521786,-76
1411801521805,-76
1411801522501,-78
1411801522543,-78
1411801523235,-80
1411801523272,-80
1411801523572,-77
1411801523604,-77
1411801524287,-87
1411801524321,-87
1411801524633,-77
1411801524664,-77
1411801525352,-78
1411801525396,-78
1411801526048,-77
1411801526073,-77
1411801527122,-75
1411801527175,-75
1411801527614,-78
1411801527638,-78
1411801527826,-78
1411801527849,-78
1411801528983,-78
1411801529017,-78
1411801529261,-77
1411801529294,-77
1411801529973,-81
1411801530006,-81
1411801531393,-82
1411801531421,-82
1411801531743,-74
1411801531766,-74
1411801534228,-82
1411801534248,-82
1411801534627,-83
1411801534662,-83
1411801535854,-76
1411801535877,-76
1411801536012,-80
1411801536037,-80
1411801536354,-76
1411801536380,-76
1411801537062,-80
1411801537088,-80
1411801537410,-79
1411801537437,-79
1411801538045,-76
1411801538093,-76
1411801538473,-80
1411801538495,-80
1411801539196,-79
1411801539220,-79
1411801539539,-78
1411801539559,-78
1411801539900,-80
1411801539933,-80
1411801540963,-76
1411801540996,-76
1411801541319,-80
1411801541436,-80
1411801541659,-87
1411801541680,-87
1411801542017,-80
1411801542038,-80
1411801542725,-77
1411801542746,-77
1411801543799,-80
1411801543830,-80
1411801544855,-80
1411801544876,-80
1411801545624,-76
1411801545688,-76
1411801545927,-79
1411801545960,-79
1411801546639,-79
1411801546672,-79
1411801547055,-77
1411801547088,-77
1411801548053,-75
1411801548085,-75
1411801548403,-73
1411801548424,-73
1411801549132,-68
1411801549191,-68
1411801549468,-76
1411801549505,-76
1411801550264,-73
1411801550284,-73
1411801550532,-75
1411801550563,-75
1411801551263,-74
1411801551286,-74
1411801552318,-75
1411801552354,-75
1411801552662,-74
1411801552695,-74
1411801553016,-74
1411801553043,-74
1411801553742,-74
1411801553770,-74
1411801554109,-78
1411801554130,-78
1411801554467,-73
1411801554497,-73
1411801554794,-75
1411801554817,-75
1411801556206,-77
1411801556230,-77
1411801557274,-78
1411801557306,-78
1411801557755,-76
1411801557782,-76
1411801558407,-77
1411801558726,-76
1411801558750,-76
1411801559053,-73
1411801559075,-73
1411801559403,-78
1411801559425,-78
1411801560110,-78
1411801560131,-78
1411801560463,-78
1411801560484,-78
1411801561269,-73
1411801561297,-73
1411801562606,-70
1411801562631,-70
1411801563381,-74
1411801563417,-74
1411801564062,-72
1411801564097,-72
1411801564384,-73
1411801564434,-73
1411801565120,-73
1411801565141,-73
1411801565430,-73
1411801565455,-73
1411801565922,-70
1411801565943,-70
1411801566839,-72
1411801566865,-72
1411801567287,-73
1411801567309,-73
1411801567558,-72
1411801567589,-72
1411801568065,-73
1411801568087,-73
1411801568265,-75
1411801568289,-75
1411801568651,-73
1411801568672,-73
1411801569759,-73
1411801569794,-73
